lang,measure
Visual-Basic-.NET,469.8231769877485
Elm,470.35849097440905
PureBasic,471.8757633327495
VHDL,475.5224593811339
Simula,476.43521238041916
Java,482.0625419103376
Modula-2,485.4458275263862
Eiffel,487.6880543311519
Z80-Assembly,490.01650215149294
C-sharp,496.62002706698905
Go,497.2581885838087
ABAP,506.48633670894856
Ada,507.47999208156034
6800-Assembly,509.007433415618
ATS,517.7111639626612
FreeBASIC,527.6025414401671
OoRexx,530.6032926734495
Pascal,531.7354558622213
Rust,535.7007692617395
MIPS-Assembly,539.097503334813
C,541.0095150982763
Ezhil,545.4430472900573
X86-Assembly,565.1752333015347
C++,568.2972099787123
ALGOL-W,587.3440948281876
EDSAC-order-code,591.4126579383117
TSE-SAL,598.7011131138
68000-Assembly,602.9176532376447
Fortran,610.9633530492484
VAX-Assembly,612.0730573371751
6502-Assembly,618.0272125334557
NetRexx,621.4114841783095
COBOL,643.3349166404623
ALGOL-68,658.1969874849337
MMIX,856.2515488248179
REXX,860.0008371440163
360-Assembly,874.2932039767526
AppleScript,911.068893250467
LLVM,1581.5664109103873
ARM-Assembly,1974.903684490389
