lang,zipped,raw,compression ratio
CMake,283.532960228577,21465.25,0.013208928860767
ML-I,283.339984639544,21475.0972222222,0.013193886002358
OASYS,286.781096250255,21771.5972222222,0.013172258026046
Processing,280.430426940354,21322.0416666667,0.013152137648186
Eero,286.334084241014,21772.3402777778,0.013151277289804
S-lang,282.141383305884,21467.5347222222,0.01314270068532
Order,286.048819502431,21773.7430555556,0.013137328697807
4DOS-Batch,285.459449593541,21768.6875,0.013113305503308
Set-lang,285.442403280629,21774.2569444444,0.013109168501544
Peloton,285.287993636384,21774.5902777778,0.013101876544953
Idris,282.941995519338,21621.2708333333,0.013086279604025
Xanadu,284.711137756169,21777.7569444444,0.013073483117774
Kitten,281.595568532529,21623.5625,0.013022626060462
Slate,232.277588392255,17845.9166666667,0.013015727503991
Robotic,279.092595553085,21470.0277777778,0.012999172541451
EC,282.940393899458,21773.1458333333,0.012994924852168
Logo,216.211569840138,16657.6388888889,0.012979724874715
DUP,282.350908828084,21769.25,0.012970171633294
Clipper,273.953531299512,21165.75,0.012943247052408
Lhogho,281.507690568602,21772.2291666667,0.012929667808182
Apex,256.085521580271,19822.7777777778,0.012918750563171
Onyx,281.05753234727,21770.4097222222,0.012910070868367
Turing,281.024937234455,21769.5,0.01290911308181
Ferite,280.990608359206,21770.7847222222,0.012906774466076
App-Inventor,280.438073146696,21771.0486111111,0.012881238664984
Vedit-macro-language,238.324471614406,18504,0.012879619088543
SuperCollider,277.945041398909,21622.4236111111,0.012854481366098
Golo,279.483783542747,21771.1111111111,0.012837368847018
Metafont,273.610588245337,21315.4652777778,0.012836247516989
HolyC,263.783431232163,20564.7708333333,0.012826957001855
Sinclair-ZX81-BASIC,278.868193489747,21768.7013888889,0.012810511224711
Picat,274.155061980167,21478.5138888889,0.012764154140198
Curry,276.138477568813,21637.5972222222,0.012761975127498
Algae,277.764584939559,21772.2638888889,0.01275772636034
Ol,262.147175715524,20576.8819444444,0.012739888211601
Pike,227.793784914065,17883.2430555556,0.012737834195197
GFA-Basic,277.268826165409,21769.0694444444,0.01273682491909
ProDOS,270.946518867419,21321.5208333333,0.012707654439163
SPAD,276.470367168456,21772.8888888889,0.012697918433302
Efene,274.270200543376,21619.125,0.012686461665002
Vox,275.937887545234,21770.9444444444,0.012674594262522
XLISP,260.441622747938,20580.9861111111,0.012654477357979
Arc,273.444300639455,21620.3402777778,0.012647548425522
Emacs-Lisp,228.374385433878,18162.7569444444,0.012573773140962
Io,245.515722557258,19528.3333333333,0.012572282455778
Red,227.806687564249,18165.5833333333,0.012540565495975
Lambdatalk,271.019866440058,21624.4583333333,0.012533024516147
Genyris,270.698190834653,21618.5555555556,0.012521566953861
Octave,244.017616822649,19505.5486111111,0.012510164245452
Clean,270.313427516647,21616.5069444444,0.012504954117303
OOC,265.286259497057,21317.2291666667,0.012444687694772
Fexl,270.914255451588,21769.8888888889,0.012444448239231
J,207.057495718279,16670.0625,0.012420918980854
Monte,268.400406875027,21617.4791666667,0.012415897561677
Comefrom0x10,270.249034620885,21771.1875,0.012413150849989
LiveCode,228.960365042937,18455.8680555556,0.012405830186569
ScriptBasic,269.031977780869,21768.8263888889,0.012358588973735
PARI-GP,190.929778371234,15451.4444444444,0.012356759205117
Squirrel,268.900383664472,21771.0625,0.012351275169252
Pure,264.595168876126,21470.5833333333,0.0123236134188
Visual-Objects,266.410676356092,21618.7916666667,0.012323106696424
Quill,268.267074612442,21770.3611111111,0.012322582672987
AntLang,267.981249607344,21769.2152777778,0.01231010149828
PHL,262.328902586149,21317.0694444444,0.012306049068791
Dylan,267.61214032033,21769.9930555556,0.012292706738004
Bc,260.127901260816,21165.9444444444,0.012289926487504
Openscad,267.434241623254,21768.2847222222,0.012285499065999
Dc,253.968492595571,20714.3402777778,0.012260515622987
Transact-SQL,264.656111944051,21617.625,0.012242608147012
SQL,240.77572217463,19683.1111111111,0.012232604938084
Inform-6,264.32714218884,21620.9305555556,0.012225521075961
Harbour,251.083218002225,20567.4791666667,0.01220777791812
Toka,243.666856603767,19961.1875,0.012207032101861
Rascal,253.06543844816,20737.3125,0.012203386453677
BASIC256,259.761625042696,21319.5138888889,0.012184218945915
L++,264.993864558589,21768.7083333333,0.012173155177646
Gastona,259.186355850748,21331.0694444444,0.012150649854935
MOO,262.623307512551,21618.4375,0.012148116972494
SPL,247.568797620544,20414.7361111111,0.012126965358411
Dart,251.253706472021,20720.8333333333,0.012125656455517
HPPPL,263.721380110749,21769.2847222222,0.012114379662715
LSE64,261.346575384494,21618.0972222222,0.012089249701211
Axe,242.614124974464,20106.4861111111,0.01206646072485
815,262.505583532528,21768.0625,0.012059207544655
Euler-Math-Toolbox,262.087521013686,21768.4722222222,0.012039775613933
ColdFusion,238.174123554964,19808.6319444444,0.012023754301809
Klong,259.910998092742,21618.2361111111,0.012022766184849
Agena,261.645236635034,21769.2291666667,0.012019040023506
Aikido,246.779736073205,20566.8472222222,0.011998909381043
TIScript,261.138538132306,21769.5555555556,0.011995584267482
XQuery,259.372237803969,21623.4930555556,0.011994927791619
LotusScript,261.055228243323,21769.5138888889,0.01199178032067
Kite,260.992830125637,21768.3611111111,0.011989548905104
Vim-Script,257.197027040153,21464.6180555556,0.011982371471715
Fancy,258.483307044331,21616.2152777778,0.011957842930537
Agda,258.481946740932,21617.7361111111,0.011956938756787
ChucK,260.242252636132,21768.1875,0.011955164050114
Friendly-interactive-shell,260.225406157847,21768.1597222222,0.011954405401215
Pop11,233.218475136316,19525.3194444445,0.011944412781563
Uniface,259.381098097218,21768.8472222222,0.011915242706671
ToffeeScript,259.335580326431,21769.0694444444,0.011913030136096
Rhope,258.939487526472,21768.4236111111,0.011895187825833
TorqueScript,251.671540756991,21164.7777777778,0.011891055195545
Symsyn,256.700523312514,21620.9375,0.011872774865221
Joy,242.252210969242,20413.3958333333,0.011867315607218
MySQL,257.482605801994,21770.0625,0.011827370996385
Dao,256.884145418741,21768.1944444444,0.011800893550191
DWScript,233.590401946839,19809.2430555556,0.011791990299262
Shen,256.555829258753,21769.3958333333,0.011785160746901
SkookumScript,256.43328208934,21769.5763888889,0.011779433715588
SmileBASIC,252.504528314218,21471.1805555556,0.011760160446738
Ursala,204.777534034657,17413.3263888889,0.011759817134383
Retro,207.297418833625,17690.0069444445,0.011718334508553
Powerbuilder,254.913486074516,21768.4791666667,0.011710211086536
Gosu,252.582008545073,21618.0138888889,0.011683867437743
MAXScript,218.937577274181,18758.6736111111,0.011671271744101
Smart-BASIC,250.342371139336,21469.7847222222,0.011660218040297
Luck,253.289343772595,21768.7430555556,0.011635460215878
Nial,247.742305676851,21327.1527777778,0.011616285973953
KonsolScript,252.769496392685,21768.1319444444,0.011611905745417
M4,227.709299733042,19667.6527777778,0.011577858441264
Arbre,249.828092095205,21618.7430555556,0.0115560877639
Beeswax,249.702775363077,21616.0208333333,0.011551745683832
DCL,236.42559618972,20568.8472222222,0.011494353263235
Locomotive-Basic,241.265117159334,21017.3680555556,0.01147932112725
I,242.575946759864,21163.2291666667,0.011462142419264
MoonScript,247.608662483987,21618.1111111111,0.011453760285131
SETL,243.327434432139,21317.7083333333,0.011414333596621
XEec,248.303479567009,21768.2430555556,0.011406684450064
NASL,247.212960168519,21769.4722222222,0.011355946420978
Sparkling,233.252331268042,20564.2430555556,0.011342616921902
UnixPipes,243.373803516372,21465.0694444444,0.011338132594738
Gema,241.075573430197,21617.7083333333,0.011151763624198
Wren,242.62098200226,21769.3125,0.011145091605546
Xojo,239.572853309543,21617.9444444444,0.011082129197122
V,235.965882707408,21314.0069444444,0.011070930178566
RLaB,233.878703422711,21166.1597222222,0.011049652203898
TXR,216.508655337006,19703.7569444444,0.010988191538673
Gnuplot,229.811512338259,21011.0694444444,0.010937639940028
Lang5,219.03146040382,20112.9513888889,0.010890070590278
Yorick,224.724355123349,20715.0138888889,0.010848380615563
LFE,222.681911385221,20710.1319444444,0.010752317367295
Self,227.433943897542,21167.4861111111,0.010744494773905
Moonscript,230.617283794893,21466.8194444444,0.010742964713134
Salmon,231.590776797147,21617.2013888889,0.010713263601096
Hy,229.100668242545,21465.1111111111,0.010673164795497
Q,224.006760812739,21011.1458333333,0.010661330066891
Raven,207.652398311954,19510.3611111111,0.010643185799042
Sed,219.753090726994,20719.7361111111,0.010605979224279
Deja-Vu,201.97929914997,19045.3194444444,0.010605193561555
SAS,214.352830971985,20267.0416666667,0.010576424250636
Wortel,215.651343105868,20710.0833333333,0.010412866990196
Jq,189.204447166491,18173.4513888889,0.010411035477948
FALSE,219.896016674143,21161.6041666667,0.01039127350376
Suneido,217.844497913607,21010.9791666667,0.010368126881931
Golfscript,221.096791145868,21465.1736111111,0.0103002563665
Astro,217.577278589198,21169.0694444444,0.010278074771317
TPP,223.612944205615,21768.7291666667,0.010272209392362
Stata,180.100886294017,17545.3263888889,0.01026489233099
Oforth,152.662905314524,14966.6041666667,0.010200236714654
4D,219.045366537263,21616.3611111111,0.010133313623479
Ela,210.584336826649,20868.3819444444,0.010091071621521
Shiny,213.28514183953,21171.4722222222,0.010074176212255
Gri,219.076081444559,21768.4375,0.010063932307707
Babel,212.314822305401,21164.6041666667,0.010031599014726
GUISS,200.434598675602,20103.7152777778,0.009970027724038
Befunge,176.774295597599,18014.7708333333,0.009812741845736
Crystal,195.744143824078,20283.8611111111,0.009650240787581
Ioke,203.644077954892,21163.2430555556,0.009622536461936
APL,193.326685126748,20259.5347222222,0.009542503703932
TI-83-BASIC,192.991137309957,20562.3125,0.009385672808443
Brat,183.453796927829,20409.8888888889,0.00898847602388
TI-89-BASIC,178.192434935051,20105.7361111111,0.008862766026088
Halon,185.367745302456,21011.8194444444,0.008822070158778
Frink,165.508955625997,18891.5277777778,0.008761014861947
Excel,186.786789023438,21616.2152777778,0.008641049629787
MIRC-Scripting-Language,171.129269431824,20256.2291666667,0.008448229333495
Wart,160.272311167929,19345.9791666667,0.00828452826229
Burlesque,164.247076870484,20098.0555555556,0.008172286936737
IDL,166.706702841856,21010.1736111111,0.007934570457509
K,140.597966077782,18442.4722222222,0.007623596467092
